,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.484,-69.3632,13.55,70,97,8.88,GL,1638701721
1,Port Alfred,-33.5906,26.891,72.61,87,100,23.47,ZA,1638701721
2,Tazovsky,67.4667,78.7,-26.66,99,74,8.03,RU,1638701721
3,Vaxjo,56.8777,14.8091,28.45,86,90,13.8,SE,1638701721
4,Luanda,-8.8368,13.2343,82.4,78,75,4.61,AO,1638701701
5,Beringovskiy,63.05,179.3167,25.83,95,100,11.81,RU,1638701721
6,Kaitangata,-46.2817,169.8464,46.17,85,99,6.51,NZ,1638701722
7,Chokurdakh,70.6333,147.9167,-42.29,100,57,4.16,RU,1638701722
8,Arraial do Cabo,-22.9661,-42.0278,76.96,73,0,10.36,BR,1638701722
9,Gongzhuling,43.5008,124.8198,36.63,77,5,19.82,CN,1638701722
10,Avarua,-21.2078,-159.775,78.85,89,75,4.61,CK,1638701722
11,Butaritari,3.0707,172.7902,82.33,81,88,13.44,KI,1638701722
12,Yaring,6.8662,101.3689,80.64,73,77,7.76,TH,1638701722
13,Thompson,55.7435,-97.8558,-18.24,76,75,3.44,CA,1638701722
14,Cape Town,-33.9258,18.4232,69.12,69,75,17.27,ZA,1638701560
15,Chizhou,30.6578,117.4831,52.57,40,0,3.15,CN,1638701723
16,Dalvik,65.9702,-18.5286,30.13,69,99,13.69,IS,1638701723
17,Hong Kong,22.2855,114.1577,69.85,48,78,1.01,HK,1638701723
18,Palmer,42.1584,-72.3287,34.93,82,90,0.0,US,1638701723
19,Saint Anthony,45.0205,-93.218,30.29,83,90,5.01,US,1638701723
20,Aksarayskiy,46.7924,48.0119,48.15,86,100,11.59,RU,1638701723
21,Severo-Kuril'sk,50.6789,156.125,28.26,68,88,24.32,RU,1638701723
22,Moirāng,24.5,93.7667,71.65,91,100,3.22,IN,1638701723
23,Hobart,-42.8794,147.3294,57.11,76,0,9.22,AU,1638701724
24,Ushuaia,-54.8,-68.3,44.26,76,90,21.85,AR,1638701724
25,Yellowknife,62.456,-114.3525,-21.48,76,40,6.91,CA,1638701724
26,Cidreira,-30.1811,-50.2056,72.1,81,74,11.34,BR,1638701724
27,Bethel,41.3712,-73.414,39.56,61,100,3.36,US,1638701724
28,Barrow,71.2906,-156.7887,2.1,93,58,11.03,US,1638701639
29,Albany,42.6001,-73.9662,34.75,80,95,5.99,US,1638701724
30,Rikitea,-23.1203,-134.9692,74.97,79,97,7.16,PF,1638701725
31,Bud,39.447,-86.1758,35.85,67,74,7.72,US,1638701725
32,Hilo,19.7297,-155.09,71.26,98,92,1.01,US,1638701725
33,Codrington,-38.2667,141.9667,53.04,73,0,11.63,AU,1638701725
34,Katiola,8.1333,-5.1,77.63,28,50,2.93,CI,1638701725
35,Salalah,17.0151,54.0924,83.66,34,0,8.37,OM,1638701726
36,Pampa,35.5362,-100.9599,43.57,65,1,12.66,US,1638701726
37,Ratnagiri,16.9833,73.3,79.7,69,1,6.29,IN,1638701726
38,Carnarvon,-24.8667,113.6333,82.47,65,1,13.8,AU,1638701726
39,Jamestown,42.097,-79.2353,32.52,83,20,1.99,US,1638701726
40,Mataura,-46.1927,168.8643,48.47,98,100,1.32,NZ,1638701726
41,Lagoa,39.05,-27.9833,62.82,76,68,13.09,PT,1638701726
42,Boueni,-12.9025,45.0761,89.58,71,64,6.55,YT,1638701727
43,Adelaide,-34.9333,138.6,67.42,61,0,4.0,AU,1638701727
44,Ballitoville,-29.539,31.2144,83.17,78,20,9.22,ZA,1638701579
45,Mar del Plata,-38.0023,-57.5575,62.62,85,75,1.99,AR,1638701727
46,Maryville,35.7565,-83.9705,52.86,95,16,1.01,US,1638701727
47,Cabedelo,-6.9811,-34.8339,83.07,70,28,15.97,BR,1638701727
48,Longyearbyen,78.2186,15.6401,-0.87,96,89,0.94,SJ,1638701727
49,Kokopo,-4.352,152.2633,76.08,94,100,5.77,PG,1638701727
50,Busselton,-33.65,115.3333,73.09,53,30,20.51,AU,1638701728
51,Shihezi,44.3,86.0333,28.8,82,88,2.48,CN,1638701728
52,Airai,-8.9266,125.4092,63.54,94,100,1.52,TL,1638701728
53,Lüderitz,-26.6481,15.1594,69.8,59,0,15.73,NA,1638701728
54,Saint-Philippe,-21.3585,55.7679,85.59,70,5,11.52,RE,1638701728
55,Hermanus,-34.4187,19.2345,68.9,83,96,11.63,ZA,1638701728
56,East London,-33.0153,27.9116,70.74,100,90,13.8,ZA,1638701728
57,Esperance,-33.8667,121.9,67.84,80,19,16.08,AU,1638701728
58,Yasothon,15.75,104.1333,77.13,61,74,11.03,TH,1638701728
59,Mossamedes,-15.1961,12.1522,79.57,59,62,9.01,AO,1638701729
60,Lebu,-37.6167,-73.65,56.17,67,2,12.68,CL,1638701729
61,Bonavista,48.6499,-53.1147,29.12,58,29,16.89,CA,1638701729
62,Gorontalo,0.5412,123.0595,77.74,91,97,4.03,ID,1638701729
63,Umluj,25.0213,37.2685,81.61,61,3,17.07,SA,1638701729
64,Deer Lake,49.1667,-57.4316,22.86,93,75,5.75,CA,1638701729
65,Clyde River,70.4692,-68.5914,10.63,85,100,41.43,CA,1638701729
66,Conceição da Barra,-18.5933,-39.7322,78.39,76,23,0.43,BR,1638701729
67,Lüshunkou,38.8,121.2667,50.22,96,0,15.95,CN,1638701730
68,Basco,20.4487,121.9702,75.24,65,95,21.9,PH,1638701730
69,Bredasdorp,-34.5322,20.0403,65.28,81,99,9.57,ZA,1638701730
70,Nikolskoye,59.7035,30.7861,12.4,91,54,6.15,RU,1638701730
71,Puerto Ayora,-0.7393,-90.3518,67.78,94,50,6.17,EC,1638701633
72,Baní,18.2833,-70.3333,75.85,77,9,9.48,DO,1638701731
73,Bengkulu,-3.8004,102.2655,78.01,85,100,8.57,ID,1638701575
74,Tuktoyaktuk,69.4541,-133.0374,-20.02,87,22,7.0,CA,1638701731
75,Mocuba,-16.8392,36.9856,105.3,16,0,7.72,MZ,1638701731
76,Portland,45.5234,-122.6762,41.05,93,58,3.0,US,1638701731
77,Kapaa,22.0752,-159.319,67.64,78,78,11.07,US,1638701731
78,Pevek,69.7008,170.3133,-20.4,94,96,2.62,RU,1638701731
79,Avera,33.194,-82.5271,50.72,94,2,0.58,US,1638701731
80,Labuhan,-6.8844,112.2051,82.26,77,100,12.48,ID,1638701732
81,Tuatapere,-46.1333,167.6833,48.81,85,99,4.54,NZ,1638701732
82,Krasnosel'kup,65.7,82.4667,-37.07,100,36,2.98,RU,1638701732
83,Kumul,42.8,93.45,32.47,46,61,6.31,CN,1638701732
84,San Ramon,37.7799,-121.978,51.89,93,21,1.01,US,1638701732
85,Changchun,43.88,125.3228,37.36,78,6,17.49,CN,1638701732
86,New Norfolk,-42.7826,147.0587,56.75,90,19,2.98,AU,1638701732
87,Pangnirtung,66.1451,-65.7125,17.1,96,100,5.37,CA,1638701732
88,Chui,-33.6971,-53.4616,68.9,75,36,4.97,UY,1638701733
89,Kruisfontein,-34.0033,24.7314,72.88,66,100,2.95,ZA,1638701733
90,George Town,5.4112,100.3354,85.98,64,20,8.99,MY,1638701733
91,São Filipe,14.8961,-24.4956,76.64,70,100,9.33,CV,1638701733
92,Punta Arenas,-53.15,-70.9167,48.31,66,75,16.11,CL,1638701704
93,Pisco,-13.7,-76.2167,64.45,88,75,9.22,PE,1638701733
94,Mataram,-8.5833,116.1167,77.81,89,100,5.97,ID,1638701733
95,São Félix do Xingu,-6.6447,-51.995,74.64,96,100,1.07,BR,1638701733
96,Bhatkal,13.9667,74.5667,82.35,71,6,12.46,IN,1638701734
97,Opunake,-39.4556,173.8583,67.33,84,100,18.23,NZ,1638701734
98,Taoudenni,22.6783,-3.9836,65.95,18,71,13.58,ML,1638701734
99,Dikson,73.5069,80.5464,5.23,95,100,17.81,RU,1638701734
100,Podgorenskiy,50.405,39.6429,35.15,57,78,10.94,RU,1638701734
101,Bambous Virieux,-20.3428,57.7575,84.45,65,40,11.5,MU,1638701734
102,Provideniya,64.3833,-173.3,32.97,98,100,15.28,RU,1638701734
103,Havelock,34.8791,-76.9013,53.96,92,100,5.99,US,1638701734
104,Kirakira,-10.4544,161.9205,80.24,82,95,3.65,SB,1638701735
105,Dunedin,-45.8742,170.5036,49.01,81,100,11.36,NZ,1638701735
106,Pāsighāt,28.0667,95.3333,68.88,62,8,3.11,IN,1638701735
107,Camacha,33.0833,-16.3333,63.82,72,40,11.5,PT,1638701735
108,Alyangula,-13.8483,136.4192,80.47,83,67,3.44,AU,1638701735
109,Manutuke,-38.6833,177.9167,67.98,83,68,5.66,NZ,1638701735
110,Puri,19.8,85.85,72.37,93,100,21.52,IN,1638701735
111,Paamiut,61.994,-49.6678,28.2,79,100,16.87,GL,1638701735
112,Viedma,-40.8135,-62.9967,62.28,50,0,13.31,AR,1638701736
113,La Ronge,55.1001,-105.2842,-3.75,77,90,10.36,CA,1638701736
114,Atuona,-9.8,-139.0333,78.4,74,6,16.84,PF,1638701736
115,Ovalle,-30.5983,-71.2003,66.69,61,9,2.35,CL,1638701736
116,Ilulissat,69.2167,-51.1,34.0,46,98,21.23,GL,1638701737
117,Mahébourg,-20.4081,57.7,84.49,65,40,11.5,MU,1638701737
118,Carlsbad,33.1581,-117.3506,59.81,89,21,1.99,US,1638701737
119,Vaini,-21.2,-175.2,78.96,83,75,10.36,TO,1638701737
120,San Quintín,30.4833,-115.95,57.04,89,74,7.67,MX,1638701737
121,Am Timan,11.0297,20.2827,97.41,13,85,7.54,TD,1638701737
122,Srednekolymsk,67.45,153.6833,-47.83,100,65,3.76,RU,1638701737
123,Launceston,-41.45,147.1667,56.8,62,40,12.66,AU,1638701738
124,Prince Rupert,54.3161,-130.3201,35.29,82,1,6.91,CA,1638701738
125,Praia,14.9215,-23.5087,75.74,69,20,19.57,CV,1638701506
126,Batagay-Alyta,67.8006,130.4114,-20.25,98,100,0.92,RU,1638701704
127,Vao,-22.6667,167.4833,76.95,85,100,17.16,NC,1638701738
128,Kununurra,-15.7667,128.7333,76.98,83,40,14.97,AU,1638701738
129,Nouadhibou,20.931,-17.0347,67.98,40,100,12.66,MR,1638701738
130,Horta,38.5333,-28.6333,64.04,59,40,9.22,PT,1638701738
131,General Roca,-39.0333,-67.5833,61.2,53,0,7.49,AR,1638701738
132,Druzhba,52.0428,33.9453,30.97,82,98,5.19,UA,1638701739
133,Cassilândia,-19.1133,-51.7342,78.19,71,97,4.32,BR,1638701739
134,Bluff,-46.6,168.3333,48.79,67,84,12.46,NZ,1638701739
135,Abu Samrah,35.3029,37.1841,61.9,34,100,6.67,SY,1638701739
136,Cherskiy,68.75,161.3,-42.74,100,92,7.02,RU,1638701739
137,Saint-François,46.4154,3.9054,39.67,84,90,12.66,FR,1638701739
138,Tasiilaq,65.6145,-37.6368,29.88,87,100,73.46,GL,1638701739
139,Khatanga,71.9667,102.5,-20.04,95,100,13.82,RU,1638701739
140,Mt. Pleasant,32.7941,-79.8626,57.0,97,20,0.0,US,1638701739
141,Zyryanka,65.75,150.85,-46.21,99,55,4.85,RU,1638701739
142,Adrar,20.5022,-10.0711,68.47,17,100,15.48,MR,1638701740
143,Seoul,37.5683,126.9778,36.97,56,0,3.44,KR,1638701740
144,Fortuna,40.5982,-124.1573,48.65,94,75,3.0,US,1638701740
145,Harper,4.375,-7.7169,85.19,68,60,6.8,LR,1638701740
146,San Patricio,28.017,-97.5169,73.26,95,16,6.29,US,1638701740
147,Jalesar,27.4833,78.3167,76.93,38,38,1.72,IN,1638701740
148,Makakilo City,21.3469,-158.0858,68.29,83,20,4.61,US,1638701740
149,Tiksi,71.6872,128.8694,-10.89,95,100,4.74,RU,1638701741
150,Baghdad,33.3406,44.4009,62.51,36,0,10.36,IQ,1638701505
151,Souillac,-20.5167,57.5167,84.58,65,40,11.5,MU,1638701741
152,Santa Vitória do Palmar,-33.5189,-53.3681,69.35,72,27,5.55,BR,1638701741
153,Waingapu,-9.6567,120.2641,81.9,79,88,2.95,ID,1638701741
154,The Valley,18.217,-63.0578,80.46,75,13,20.42,AI,1638701741
155,Broken Hill,-31.95,141.4333,73.11,27,100,5.75,AU,1638701742
156,Raudeberg,61.9875,5.1352,34.86,91,100,1.99,NO,1638701742
157,Port Blair,11.6667,92.75,80.42,71,15,9.86,IN,1638701742
158,Inhambane,-23.865,35.3833,89.58,62,20,11.99,MZ,1638701742
159,Kaeo,-35.1,173.7833,69.33,93,24,6.22,NZ,1638701742
160,Lorengau,-2.0226,147.2712,83.1,81,100,12.8,PG,1638701742
161,Kinsale,51.7075,-8.5306,43.23,81,40,12.66,IE,1638701742
162,North Myrtle Beach,33.816,-78.68,57.02,93,100,6.93,US,1638701743
163,Fairbanks,64.8378,-147.7164,-11.02,79,90,0.0,US,1638701743
164,Dwārka,22.2394,68.9678,79.16,40,0,12.12,IN,1638701743
165,Castro,-24.7911,-50.0119,66.16,73,73,4.63,BR,1638701743
166,Dawlatabad,36.4141,64.9053,54.55,50,7,5.59,AF,1638701743
167,Akdepe,42.0551,59.3788,44.69,53,7,5.3,TM,1638701640
168,Waddān,29.1614,16.139,61.27,35,0,6.53,LY,1638701743
169,Lincoln,40.8,-96.667,43.18,75,100,5.99,US,1638701743
170,Caucaia,-3.7361,-38.6531,86.07,74,20,12.66,BR,1638701743
171,Itarema,-2.9248,-39.9167,83.52,69,91,15.26,BR,1638701743
172,Shagonar,51.5333,92.8,5.22,99,100,3.4,RU,1638701744
173,Digby,44.6169,-65.7655,25.75,84,92,10.89,CA,1638701744
174,Chernyshevskiy,63.0128,112.4714,-14.24,93,99,8.28,RU,1638701744
175,Upernavik,72.7868,-56.1549,23.29,72,100,6.11,GL,1638701744
176,Saint George,37.1041,-113.5841,51.53,48,1,0.0,US,1638701744
177,Marrakesh,31.6315,-8.0083,55.47,62,0,5.75,MA,1638701477
178,Mlonggo,-6.5333,110.7,78.69,80,100,15.43,ID,1638701744
179,Khani,41.9563,42.9566,51.37,47,100,1.07,GE,1638701744
180,Bereda,43.2686,-7.5406,50.41,100,99,6.42,ES,1638701745
181,Broome,42.2506,-75.833,31.86,69,93,5.01,US,1638701745
182,Argelia,2.2556,-77.2488,65.41,98,100,1.88,CO,1638701745
183,Noyabrsk,63.1994,75.4507,-7.73,94,100,14.2,RU,1638701745
184,Muros,42.7762,-9.0603,55.69,90,91,13.62,ES,1638701745
185,Maningrida,-12.0667,134.2667,84.4,74,100,9.73,AU,1638701745
186,Caravelas,-17.7125,-39.2481,77.34,80,49,2.1,BR,1638701745
187,Ribeira Grande,38.5167,-28.7,64.8,59,40,9.22,PT,1638701746
188,Kloulklubed,7.0419,134.2556,83.89,72,100,3.13,PW,1638701746
189,Marystown,47.1666,-55.1483,29.86,100,83,13.51,CA,1638701746
190,Lompoc,34.6391,-120.4579,57.31,90,90,4.61,US,1638701746
191,Oromocto,45.8351,-66.4792,17.74,90,90,3.44,CA,1638701615
192,Nishihara,26.1842,127.7558,67.28,64,75,11.5,JP,1638701746
193,Rocha,-34.4833,-54.3333,67.17,85,61,5.86,UY,1638701746
194,Lesnoy,57.6198,63.0784,24.85,93,99,4.21,RU,1638701702
195,Rabo de Peixe,37.8,-25.5833,63.91,97,20,3.44,PT,1638701747
196,Province of Mantua,45.1667,10.7833,47.82,85,100,8.99,IT,1638701747
197,Riachão,-7.3619,-46.6172,71.96,94,99,3.06,BR,1638701747
198,Laguna,38.421,-121.4238,54.21,96,90,1.99,US,1638701747
199,Saskylakh,71.9167,114.0833,-17.16,95,100,15.03,RU,1638701747
200,Norton,-17.8833,30.7,92.12,19,34,8.72,ZW,1638701747
201,Genhe,50.7833,121.5167,3.61,99,47,3.49,CN,1638701747
202,Banda Aceh,5.5577,95.3222,80.73,79,74,14.03,ID,1638701747
203,Vila Velha,-20.3297,-40.2925,77.95,80,20,1.99,BR,1638701741
204,San Policarpo,12.1791,125.5072,80.01,75,74,17.56,PH,1638701748
205,Whitehorse,60.7161,-135.0538,-15.7,75,90,13.0,CA,1638701748
206,Ponta do Sol,32.6667,-17.1,66.13,58,96,5.64,PT,1638701748
207,Barsovo,61.1667,73.1667,-2.07,94,100,10.58,RU,1638701748
208,Hithadhoo,-0.6,73.0833,80.26,84,100,15.26,MV,1638701748
209,Talnakh,69.4865,88.3972,-27.8,98,100,11.27,RU,1638701748
210,Sitka,57.0531,-135.33,33.69,86,90,8.05,US,1638701748
211,Arkhara,49.4212,130.0842,15.22,89,61,8.37,RU,1638701748
212,Katsuura,35.1333,140.3,51.19,69,99,13.38,JP,1638701749
213,Ust'-Ishim,57.6935,71.1665,32.07,98,100,8.84,RU,1638701749
214,Labé,11.3182,-12.2833,82.87,19,5,7.49,GN,1638701749
215,Biltine,14.5333,20.9167,92.84,14,45,6.42,TD,1638701749
216,Langsa,4.4683,97.9683,75.96,92,68,2.1,ID,1638701749
217,Lázaro Cárdenas,17.9583,-102.2,73.51,85,6,4.32,MX,1638701749
218,Rosarito,32.3333,-117.0333,59.09,87,8,6.87,MX,1638701749
219,Kuzhener,56.8111,48.9128,16.45,81,99,10.22,RU,1638701752
220,Cabo San Lucas,22.8909,-109.9124,74.52,70,98,11.83,MX,1638701641
221,Aripuanã,-9.1667,-60.6333,74.08,96,96,2.06,BR,1638701752
222,Maragogi,-9.0122,-35.2225,82.13,73,71,11.65,BR,1638701752
223,Yulara,-25.2406,130.9889,80.44,32,76,11.5,AU,1638701752
224,Hualmay,-11.0964,-77.6139,65.8,88,100,8.03,PE,1638701752
225,Flinders,-34.5833,150.8552,63.21,79,41,4.56,AU,1638701752
226,Lavrentiya,65.5833,-171.0,22.37,94,100,40.06,RU,1638701752
227,Ust-Maya,60.4167,134.5333,2.03,97,100,1.57,RU,1638701753
228,Mwinilunga,-11.7358,24.4293,89.56,23,19,5.14,ZM,1638701753
229,Solnechnyy,50.7214,136.6319,6.6,94,90,4.92,RU,1638701753
230,Acajutla,13.5928,-89.8275,77.72,60,2,6.69,SV,1638701753
231,Samarai,-10.6167,150.6667,82.65,76,96,8.01,PG,1638701753
232,Tayshet,55.9342,98.0044,24.82,90,100,8.81,RU,1638701753
233,Choma,-16.8065,26.9531,95.14,16,25,7.34,ZM,1638701754
234,Geraldton,-28.7667,114.6,74.12,64,0,21.85,AU,1638701754
235,Maués,-3.3836,-57.7186,74.75,96,100,1.83,BR,1638701754
236,Vestmannaeyjar,63.4427,-20.2734,41.99,65,40,48.34,IS,1638701754
237,Ust'-Barguzin,53.45,108.9833,22.17,70,79,12.44,RU,1638701754
238,Zhigalovo,54.8097,105.1578,18.36,86,99,7.18,RU,1638701754
239,Bell Ville,-32.6259,-62.6887,65.8,72,4,8.77,AR,1638701754
240,Tura,25.5198,90.2201,67.66,77,100,3.47,IN,1638701754
241,Pacific Grove,36.6177,-121.9166,51.3,92,75,1.01,US,1638701754
242,Vanavara,60.34,102.2797,8.13,95,100,6.53,RU,1638701755
243,Galle,6.0367,80.217,82.62,76,28,4.83,LK,1638701755
244,Bubaque,11.2833,-15.8333,80.37,65,83,7.99,GW,1638701755
245,Nioaque,-21.1353,-55.83,82.74,49,87,3.65,BR,1638701755
246,Hasaki,35.7333,140.8333,45.0,59,95,10.47,JP,1638701755
247,Šahy,48.0741,18.9495,35.73,93,100,3.31,SK,1638701755
248,Jadu,31.953,12.0261,53.53,25,0,16.62,LY,1638701755
249,Torbay,47.6666,-52.7314,28.27,88,20,6.91,CA,1638701756
250,Kathmandu,27.7167,85.3167,64.62,68,20,8.05,NP,1638701739
251,Muravlenko,63.7898,74.523,-15.27,95,92,11.56,RU,1638701573
252,Jalu,29.0331,21.5482,68.4,41,0,8.7,LY,1638701756
253,Haines Junction,60.7522,-137.5108,-40.05,67,56,1.14,CA,1638701756
254,Jiwani,25.05,61.7417,77.07,50,1,8.03,PK,1638701756
255,Lata,40.1629,-8.3327,55.92,70,91,11.1,PT,1638701756
256,Churapcha,62.0025,132.4325,-9.58,100,99,1.66,RU,1638701756
257,Katobu,-4.9408,122.5276,76.3,93,98,3.85,ID,1638701756
258,Saint Paul Harbor,57.79,-152.4072,24.31,86,90,0.0,US,1638701757
259,Lakhīmpur,27.95,80.7667,77.32,44,3,3.4,IN,1638701757
260,Along,28.1667,94.7667,66.47,67,12,0.63,IN,1638701757
261,Byron Bay,-28.65,153.6167,73.06,86,69,10.54,AU,1638701757
262,Bridlington,54.0831,-0.1919,45.52,75,84,21.07,GB,1638701757
263,Honiara,-9.4333,159.95,78.98,87,100,1.36,SB,1638701710
264,Pathein,16.7833,94.7333,77.41,69,52,6.15,MM,1638701757
265,Antofagasta,-23.65,-70.4,63.68,66,51,5.03,CL,1638701758
266,Quime,-16.9833,-67.2167,51.76,89,100,1.59,BO,1638701758
267,Serpa,37.9458,-7.5975,48.16,55,6,15.86,PT,1638701758
268,Bandarbeyla,9.4942,50.8122,80.94,58,61,22.41,SO,1638701758
269,Sisimiut,66.9395,-53.6735,30.92,74,95,9.53,GL,1638701758
270,Bichena,10.45,38.2,71.85,21,3,7.54,ET,1638701758
271,Mahwa,27.0471,76.9288,75.92,40,34,4.43,IN,1638701758
